epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.837,0.01983,1.81159,1.02846,0.97228,0.57158,0.86547,0.54703,0.01874,1.69534,1.07612,0.06931,0.00031,0.00031
2,275.17,0.01562,0.71536,0.93139,0.84678,0.78261,0.85354,0.49171,0.02108,1.16151,1.07166,0.0376051,0.000605052,0.000605052
3,429.696,0.01495,0.63622,0.91606,0.97051,0.93152,0.97501,0.69205,0.01432,0.71859,0.92291,0.00587476,0.00087476,0.00087476
4,525.049,0.01387,0.58444,0.90045,0.98225,0.94835,0.98358,0.73695,0.01245,0.59266,0.88838,0.0008812,0.0008812,0.0008812
5,758.407,0.01363,0.55686,0.88918,0.98878,0.97007,0.98907,0.76176,0.01179,0.50903,0.87297,0.0008416,0.0008416,0.0008416
6,955.833,0.01305,0.53231,0.88626,0.98635,0.96128,0.98921,0.76422,0.01157,0.51444,0.86825,0.000802,0.000802,0.000802
7,1172.77,0.01298,0.51625,0.87926,0.98609,0.97072,0.99113,0.76178,0.01178,0.48086,0.86748,0.0007624,0.0007624,0.0007624
8,1315.87,0.01261,0.50147,0.87498,0.99094,0.97422,0.9928,0.78511,0.01103,0.46707,0.8599,0.0007228,0.0007228,0.0007228
9,1513.95,0.01252,0.48852,0.87024,0.98981,0.97816,0.99296,0.78439,0.01097,0.43661,0.85262,0.0006832,0.0006832,0.0006832
10,1735.15,0.01212,0.47401,0.86546,0.98199,0.97535,0.99242,0.78519,0.01086,0.43146,0.85584,0.0006436,0.0006436,0.0006436
11,1947.88,0.01195,0.46238,0.86338,0.9928,0.97909,0.99381,0.7973,0.01058,0.41741,0.84713,0.000604,0.000604,0.000604
12,2137.18,0.01191,0.4558,0.86108,0.99108,0.97973,0.99369,0.79141,0.01077,0.41761,0.84888,0.0005644,0.0005644,0.0005644
13,2315.52,0.01197,0.4565,0.85966,0.99193,0.98009,0.99373,0.80528,0.01032,0.40178,0.84269,0.0005248,0.0005248,0.0005248
14,2527.26,0.01173,0.44653,0.8557,0.99408,0.97951,0.9938,0.80708,0.0102,0.39542,0.8419,0.0004852,0.0004852,0.0004852
15,2729.38,0.01152,0.43754,0.85638,0.99279,0.98264,0.99392,0.79717,0.01041,0.39116,0.84311,0.0004456,0.0004456,0.0004456
16,2804.22,0.01125,0.45021,0.86243,0.99386,0.97923,0.99389,0.79274,0.01068,0.42159,0.84775,0.000406,0.000406,0.000406
17,2849.46,0.01117,0.43019,0.85872,0.9899,0.97958,0.99342,0.7928,0.01061,0.40501,0.84868,0.0003664,0.0003664,0.0003664
18,2916.19,0.01088,0.41945,0.85417,0.99334,0.98102,0.99384,0.79907,0.0104,0.39458,0.84246,0.0003268,0.0003268,0.0003268
19,2952.29,0.01063,0.40659,0.85268,0.99379,0.98192,0.99391,0.80536,0.01022,0.38257,0.83995,0.0002872,0.0002872,0.0002872
20,3013.36,0.0108,0.41025,0.85439,0.99337,0.98119,0.9937,0.80045,0.01032,0.39024,0.84065,0.0002476,0.0002476,0.0002476
21,3026.96,0.01062,0.39957,0.85105,0.9933,0.98374,0.99406,0.81105,0.00994,0.37342,0.83531,0.000208,0.000208,0.000208
22,3074.48,0.01047,0.39168,0.84934,0.99199,0.98329,0.99396,0.80517,0.01024,0.37869,0.83897,0.0001684,0.0001684,0.0001684
23,3139.73,0.01048,0.39161,0.84614,0.99423,0.98203,0.99397,0.81497,0.00985,0.36547,0.8339,0.0001288,0.0001288,0.0001288
24,3195.29,0.01034,0.38617,0.84448,0.99238,0.98395,0.99402,0.81618,0.0098,0.36295,0.83295,8.92e-05,8.92e-05,8.92e-05
25,3219.62,0.0102,0.37949,0.84586,0.99288,0.98453,0.99406,0.8167,0.00976,0.36099,0.83253,4.96e-05,4.96e-05,4.96e-05
