epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7011,1.57172,1.72536,1.1,0.81968,0.76499,0.85576,0.52243,1.32125,1.36386,1.02649,0.0675238,0.000328042,0.000328042
2,21.6973,1.42252,0.99672,1.03776,0.8879,0.86288,0.92842,0.59199,1.22541,0.85182,0.99484,0.0344976,0.000635185,0.000635185
3,31.3266,1.36879,0.91708,1.0095,0.90944,0.88846,0.94623,0.63064,1.15625,0.84179,0.96528,0.00144503,0.000915928,0.000915928
4,41.3851,1.30004,0.8635,0.99346,0.91229,0.89196,0.94813,0.63749,1.13949,0.78353,0.96235,0.0008812,0.0008812,0.0008812
5,51.1948,1.29238,0.84485,0.99094,0.93586,0.91054,0.95949,0.66416,1.09131,0.75804,0.9479,0.0008416,0.0008416,0.0008416
6,60.9782,1.2716,0.81977,0.98439,0.94078,0.90868,0.95944,0.66165,1.09752,0.73302,0.95089,0.000802,0.000802,0.000802
7,70.6691,1.24752,0.79192,0.97305,0.94563,0.91449,0.96182,0.67558,1.08143,0.72453,0.94456,0.0007624,0.0007624,0.0007624
8,80.384,1.23725,0.77813,0.97253,0.94854,0.92096,0.9641,0.6861,1.05853,0.6956,0.93805,0.0007228,0.0007228,0.0007228
9,90.03,1.21717,0.76483,0.9697,0.95715,0.91739,0.96556,0.68214,1.05639,0.69631,0.93405,0.0006832,0.0006832,0.0006832
10,99.6397,1.21795,0.75308,0.96589,0.95785,0.92483,0.96845,0.68711,1.0486,0.68728,0.93232,0.0006436,0.0006436,0.0006436
11,109.112,1.21583,0.74277,0.96409,0.95498,0.92819,0.96932,0.69388,1.0374,0.66503,0.92874,0.000604,0.000604,0.000604
12,118.868,1.21446,0.73946,0.96264,0.95716,0.92584,0.97049,0.68732,1.05605,0.6606,0.93006,0.0005644,0.0005644,0.0005644
13,128.443,1.19187,0.72697,0.96004,0.96068,0.92972,0.97239,0.69089,1.043,0.65946,0.93187,0.0005248,0.0005248,0.0005248
14,137.798,1.18348,0.71977,0.95712,0.96024,0.92913,0.97238,0.6963,1.02665,0.64339,0.92514,0.0004852,0.0004852,0.0004852
15,147.441,1.18701,0.71431,0.95364,0.96398,0.9276,0.97233,0.70108,1.02351,0.64111,0.92311,0.0004456,0.0004456,0.0004456
16,159.799,1.09313,0.71329,0.95213,0.95927,0.9298,0.9716,0.68987,1.02581,0.66369,0.92248,0.000406,0.000406,0.000406
17,169.086,1.08768,0.68737,0.95078,0.96313,0.93146,0.97285,0.69712,1.02494,0.65266,0.92091,0.0003664,0.0003664,0.0003664
18,178.179,1.09647,0.68413,0.94444,0.96488,0.92886,0.97297,0.6959,1.02428,0.63748,0.92038,0.0003268,0.0003268,0.0003268
19,187.311,1.08864,0.6754,0.94529,0.96464,0.92978,0.97375,0.70089,1.02441,0.63078,0.92227,0.0002872,0.0002872,0.0002872
20,196.527,1.09035,0.67914,0.95088,0.97116,0.92773,0.97438,0.7032,1.01467,0.61774,0.91808,0.0002476,0.0002476,0.0002476
21,205.844,1.0895,0.67053,0.94268,0.96995,0.92726,0.97404,0.70599,1.01117,0.62044,0.91709,0.000208,0.000208,0.000208
22,214.92,1.06509,0.65759,0.94,0.96788,0.92878,0.97464,0.71113,0.9975,0.61395,0.91329,0.0001684,0.0001684,0.0001684
23,224.04,1.06294,0.65722,0.94167,0.96935,0.92973,0.97544,0.71086,0.99839,0.60912,0.91352,0.0001288,0.0001288,0.0001288
24,233.243,1.06884,0.65623,0.94308,0.97072,0.93,0.97561,0.71181,0.99579,0.60725,0.91394,8.92e-05,8.92e-05,8.92e-05
25,242.374,1.06977,0.65397,0.93759,0.96959,0.93194,0.97546,0.71159,0.99375,0.61021,0.91302,4.96e-05,4.96e-05,4.96e-05
