epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3972,1.72277,2.9197,1.19472,0.15025,0.75718,0.33223,0.18199,1.32552,inf,1.02475,0.069031,3.1e-05,3.1e-05
2,23.4313,1.48193,1.83767,1.09631,0.18975,0.95624,0.69599,0.42483,1.24188,inf,1.00334,0.0370605,6.05052e-05,6.05052e-05
3,34.1952,1.41126,1.56718,1.0614,0.79282,0.77171,0.84575,0.5503,1.18936,inf,0.98776,0.00508748,8.7476e-05,8.7476e-05
4,43.9707,1.35011,1.25889,1.04355,0.85542,0.83328,0.91036,0.61295,1.14996,1.06978,0.96944,8.812e-05,8.812e-05,8.812e-05
5,53.724,1.29964,1.1032,1.01315,0.90355,0.85923,0.93698,0.64398,1.10727,1.02063,0.95381,8.416e-05,8.416e-05,8.416e-05
6,63.3368,1.24937,1.06228,1.00309,0.93229,0.88361,0.95221,0.66138,1.09175,0.9109,0.94847,8.02e-05,8.02e-05,8.02e-05
7,73.0197,1.23572,1.0027,0.98404,0.94381,0.89728,0.95892,0.67655,1.06591,0.86112,0.94052,7.624e-05,7.624e-05,7.624e-05
8,82.642,1.21487,0.98294,0.9797,0.95006,0.90568,0.96237,0.68609,1.04311,0.83853,0.93322,7.228e-05,7.228e-05,7.228e-05
9,92.439,1.188,0.95038,0.97388,0.9539,0.91069,0.96429,0.69267,1.02778,0.8186,0.92738,6.832e-05,6.832e-05,6.832e-05
10,102.098,1.18521,0.93121,0.96968,0.95648,0.91001,0.9648,0.70079,1.01433,0.80365,0.92188,6.436e-05,6.436e-05,6.436e-05
11,111.991,1.18343,0.90744,0.96601,0.9569,0.91458,0.96693,0.70467,1.00633,0.79056,0.92068,6.04e-05,6.04e-05,6.04e-05
12,121.949,1.16373,0.89816,0.96029,0.95882,0.91559,0.96689,0.7071,1.00026,0.783,0.91746,5.644e-05,5.644e-05,5.644e-05
13,131.657,1.14501,0.88061,0.95835,0.96114,0.92029,0.96966,0.71232,0.9908,0.77394,0.91493,5.248e-05,5.248e-05,5.248e-05
14,141.528,1.14476,0.87361,0.95641,0.96114,0.92239,0.97009,0.71265,0.9868,0.76785,0.9137,4.852e-05,4.852e-05,4.852e-05
15,151.199,1.14078,0.86765,0.95452,0.96099,0.9229,0.97056,0.71527,0.98273,0.7596,0.91179,4.456e-05,4.456e-05,4.456e-05
16,164.927,1.07951,1.03815,0.96166,0.96673,0.9324,0.97226,0.70718,1.00719,0.78039,0.91388,4.06e-05,4.06e-05,4.06e-05
17,173.584,1.07114,0.99147,0.95335,0.96873,0.93404,0.97271,0.71393,0.99417,0.78217,0.90937,3.664e-05,3.664e-05,3.664e-05
18,182.436,1.07658,0.98933,0.94967,0.96818,0.93423,0.97303,0.71317,0.99687,0.77858,0.90973,3.268e-05,3.268e-05,3.268e-05
19,191.036,1.069,0.97145,0.94575,0.96868,0.93474,0.97333,0.71427,0.99249,0.77546,0.90792,2.872e-05,2.872e-05,2.872e-05
20,200.131,1.06533,0.97529,0.9496,0.96754,0.93541,0.97331,0.71548,0.99072,0.77083,0.90703,2.476e-05,2.476e-05,2.476e-05
21,208.763,1.07413,0.97463,0.94681,0.96688,0.93428,0.97328,0.71403,0.99014,0.76891,0.90675,2.08e-05,2.08e-05,2.08e-05
22,217.181,1.0536,0.94746,0.94313,0.96669,0.93364,0.97322,0.71795,0.98272,0.76274,0.90517,1.684e-05,1.684e-05,1.684e-05
23,225.847,1.04229,0.94052,0.9449,0.96767,0.93273,0.97342,0.71831,0.98249,0.76026,0.90466,1.288e-05,1.288e-05,1.288e-05
24,234.258,1.0383,0.92582,0.94112,0.96794,0.93214,0.97338,0.71896,0.9794,0.75838,0.90414,8.92e-06,8.92e-06,8.92e-06
25,243.001,1.06517,0.94434,0.94288,0.96668,0.93331,0.97374,0.71868,0.98036,0.75744,0.9039,4.96e-06,4.96e-06,4.96e-06
