epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.415,1.37715,1.6331,0.99615,0.59078,0.80573,0.80085,0.45475,1.38181,1.68005,0.99878,0.0672286,3.28042e-05,3.28042e-05
2,25.2904,1.20626,0.91143,0.9383,0.95835,0.87936,0.95188,0.64942,1.12232,0.89097,0.92306,0.033926,6.35185e-05,6.35185e-05
3,37.652,1.14495,0.79099,0.91909,0.97741,0.93591,0.97596,0.72675,0.94961,0.67562,0.88445,0.000620693,9.15928e-05,9.15928e-05
4,49.128,1.07783,0.72694,0.90675,0.98218,0.94297,0.97895,0.74312,0.90784,0.63379,0.87369,8.812e-05,8.812e-05,8.812e-05
5,60.7507,1.06022,0.70256,0.90406,0.98549,0.94714,0.98093,0.75299,0.89049,0.60514,0.86895,8.416e-05,8.416e-05,8.416e-05
6,72.4681,1.03493,0.67491,0.89649,0.9861,0.94591,0.98178,0.75856,0.87832,0.5933,0.86274,8.02e-05,8.02e-05,8.02e-05
7,84.2549,1.01349,0.65729,0.88914,0.98823,0.95296,0.98296,0.76558,0.8544,0.57435,0.85837,7.624e-05,7.624e-05,7.624e-05
8,95.8133,1.00568,0.64441,0.88781,0.98805,0.95036,0.98346,0.76727,0.85046,0.56672,0.85601,7.228e-05,7.228e-05,7.228e-05
9,107.317,0.98266,0.63296,0.88423,0.9889,0.94991,0.9838,0.76893,0.84358,0.55822,0.85409,6.832e-05,6.832e-05,6.832e-05
10,118.933,0.97762,0.622,0.88186,0.98953,0.95649,0.98593,0.77511,0.82963,0.54764,0.85102,6.436e-05,6.436e-05,6.436e-05
11,130.537,0.98142,0.61616,0.88051,0.98858,0.9599,0.98693,0.77884,0.81835,0.53642,0.84881,6.04e-05,6.04e-05,6.04e-05
12,142.215,0.97719,0.61389,0.87998,0.98813,0.95789,0.98729,0.77898,0.81941,0.53212,0.84835,5.644e-05,5.644e-05,5.644e-05
13,153.712,0.95081,0.59785,0.87672,0.9879,0.95997,0.98777,0.77782,0.82523,0.52672,0.8481,5.248e-05,5.248e-05,5.248e-05
14,165.199,0.94812,0.5947,0.87484,0.98894,0.96052,0.98802,0.77688,0.82472,0.52448,0.8473,4.852e-05,4.852e-05,4.852e-05
15,176.95,0.94571,0.58848,0.87199,0.98957,0.96229,0.98875,0.78525,0.79705,0.51526,0.84307,4.456e-05,4.456e-05,4.456e-05
16,190.006,0.90752,0.67736,0.87297,0.98887,0.96302,0.98934,0.77832,0.82022,0.52642,0.84484,4.06e-05,4.06e-05,4.06e-05
17,200.814,0.89714,0.61313,0.87057,0.9883,0.96481,0.98969,0.77627,0.8167,0.53095,0.84435,3.664e-05,3.664e-05,3.664e-05
18,211.18,0.90089,0.61303,0.86537,0.98842,0.96749,0.99039,0.77909,0.80268,0.52276,0.84045,3.268e-05,3.268e-05,3.268e-05
19,221.554,0.88389,0.59338,0.86375,0.98798,0.9675,0.99036,0.78185,0.79507,0.51307,0.83855,2.872e-05,2.872e-05,2.872e-05
20,231.792,0.88222,0.59512,0.8653,0.98834,0.9675,0.99057,0.77912,0.80352,0.51187,0.83986,2.476e-05,2.476e-05,2.476e-05
21,242.2,0.88155,0.58469,0.86084,0.98971,0.96565,0.99064,0.78414,0.79028,0.50512,0.83778,2.08e-05,2.08e-05,2.08e-05
22,252.491,0.86221,0.57261,0.8595,0.98982,0.96666,0.99075,0.7861,0.78591,0.50037,0.837,1.684e-05,1.684e-05,1.684e-05
23,262.672,0.85839,0.5692,0.86007,0.99172,0.96569,0.99096,0.78548,0.78887,0.49882,0.83718,1.288e-05,1.288e-05,1.288e-05
24,272.996,0.86189,0.56837,0.861,0.992,0.96531,0.99086,0.78683,0.78539,0.49744,0.8367,8.92e-06,8.92e-06,8.92e-06
25,283.273,0.86378,0.56332,0.85749,0.99195,0.96582,0.99095,0.78705,0.78227,0.49625,0.8362,4.96e-06,4.96e-06,4.96e-06
