epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3564,1.49752,2.22014,1.10857,0.88948,0.80038,0.9089,0.61367,1.1117,1.48193,0.96139,0.0675238,0.000328042,0.000328042
2,25.0662,1.22831,0.9703,0.99018,0.94011,0.90051,0.96052,0.69599,1.00876,0.73104,0.9256,0.0344976,0.000635185,0.000635185
3,36.5623,1.13609,0.76716,0.94912,0.9625,0.92894,0.97286,0.72892,0.93372,0.65643,0.90175,0.00144503,0.000915928,0.000915928
4,47.949,1.05776,0.69294,0.92858,0.97102,0.94282,0.97797,0.74844,0.8908,0.61264,0.8882,0.0008812,0.0008812,0.0008812
5,60.0906,1.03722,0.6666,0.92169,0.97282,0.94692,0.98,0.76185,0.85256,0.57552,0.87715,0.0008416,0.0008416,0.0008416
6,71.6014,1.0028,0.63658,0.91054,0.97399,0.95045,0.9811,0.76622,0.8345,0.55034,0.87063,0.000802,0.000802,0.000802
7,83.1212,0.98141,0.61545,0.90216,0.98514,0.9523,0.98268,0.7749,0.81601,0.54107,0.86649,0.0007624,0.0007624,0.0007624
8,94.5092,0.97382,0.60741,0.90027,0.98131,0.95204,0.98248,0.76748,0.83273,0.53252,0.8661,0.0007228,0.0007228,0.0007228
9,105.917,0.9486,0.59467,0.89598,0.98603,0.95471,0.98459,0.77938,0.80437,0.51563,0.86066,0.0006832,0.0006832,0.0006832
10,117.332,0.94618,0.58549,0.89313,0.98562,0.95534,0.98547,0.77642,0.81043,0.51616,0.86014,0.0006436,0.0006436,0.0006436
11,128.803,0.95201,0.58247,0.89163,0.98737,0.95901,0.98616,0.78312,0.7865,0.5045,0.85624,0.000604,0.000604,0.000604
12,140.426,0.94142,0.57841,0.88928,0.9863,0.95842,0.98667,0.78397,0.79,0.49802,0.85574,0.0005644,0.0005644,0.0005644
13,151.75,0.92074,0.56587,0.88635,0.98776,0.96187,0.98759,0.78684,0.78204,0.4954,0.85367,0.0005248,0.0005248,0.0005248
14,163.137,0.91818,0.56485,0.88549,0.98839,0.96136,0.98765,0.78711,0.78192,0.49204,0.8535,0.0004852,0.0004852,0.0004852
15,174.72,0.91694,0.55911,0.88194,0.98902,0.96059,0.98799,0.78374,0.78847,0.49083,0.85328,0.0004456,0.0004456,0.0004456
16,187.703,0.88621,0.63362,0.88775,0.98813,0.96511,0.98826,0.78265,0.79515,0.54379,0.85206,0.000406,0.000406,0.000406
17,197.943,0.87154,0.57885,0.88152,0.98467,0.96008,0.9887,0.78502,0.7848,0.51873,0.84909,0.0003664,0.0003664,0.0003664
18,208.135,0.87214,0.57404,0.87719,0.98505,0.96309,0.98932,0.78762,0.78645,0.50135,0.84956,0.0003268,0.0003268,0.0003268
19,218.262,0.8598,0.56068,0.87687,0.98853,0.96388,0.9898,0.78908,0.78178,0.49354,0.8488,0.0002872,0.0002872,0.0002872
20,228.381,0.86006,0.56302,0.88127,0.98802,0.9643,0.98988,0.78999,0.77869,0.49089,0.84847,0.0002476,0.0002476,0.0002476
21,238.62,0.85876,0.55355,0.87456,0.98957,0.96435,0.9902,0.79056,0.7752,0.48573,0.84721,0.000208,0.000208,0.000208
22,248.858,0.83906,0.54161,0.87317,0.98889,0.96414,0.99016,0.79178,0.77453,0.48263,0.84686,0.0001684,0.0001684,0.0001684
23,259.426,0.8349,0.53842,0.87373,0.98804,0.96456,0.99007,0.79292,0.77036,0.47975,0.84633,0.0001288,0.0001288,0.0001288
24,269.521,0.83927,0.5373,0.87603,0.98889,0.96418,0.99004,0.79258,0.77011,0.48034,0.84623,8.92e-05,8.92e-05,8.92e-05
25,279.653,0.8403,0.53312,0.86989,0.98914,0.96412,0.99007,0.79378,0.76537,0.47806,0.84535,4.96e-05,4.96e-05,4.96e-05
